-0.464,0.421,9.84
-0.436,0.421,9.778
-0.421,0.412,9.778
-0.407,0.407,9.797
-0.397,0.46,9.831
-0.397,0.436,9.687
-0.397,0.431,9.72
-0.316,0.412,9.826
-0.46,0.474,9.744
-0.441,0.431,9.701
-0.373,0.393,9.835
-0.369,0.388,9.874
-0.565,0.397,9.778
-0.431,0.316,9.855
-0.373,0.421,9.831
-0.508,0.393,9.778
-0.536,0.378,9.893
-0.421,0.369,9.821
-0.46,0.345,9.807
-0.508,0.412,9.859
-0.436,0.369,9.893
-0.493,0.393,9.706
-0.407,0.383,9.811
-0.469,0.431,9.787
-0.493,0.46,9.73
-0.484,0.407,9.792
-0.441,0.388,9.811
-0.441,0.412,9.668
-0.45,0.441,9.797
-0.421,0.417,9.749
-0.412,0.45,9.711
-0.364,0.378,9.749
-0.412,0.407,9.768
-0.464,0.412,9.797
-0.426,0.383,9.859
-0.474,0.45,9.754
-0.393,0.383,9.773
-0.426,0.484,9.768
-0.388,0.364,9.802
-0.412,0.378,9.811
-0.412,0.445,9.754
-0.397,0.407,9.888
-0.45,0.388,9.692
-0.426,0.421,9.792
-0.407,0.393,9.797
-0.441,0.383,9.74
-0.378,0.407,9.764
-0.455,0.373,9.792
-0.412,0.45,9.811
-0.421,0.441,9.764
-0.402,0.402,9.783
-0.417,0.45,9.792
-0.393,0.431,9.764
-0.455,0.383,9.735
-0.45,0.373,9.826
-0.479,0.407,9.749
-0.479,0.436,9.778
-0.441,0.421,9.821
-0.45,0.421,9.764
-0.421,0.412,9.787
-0.464,0.369,9.802
-0.441,0.412,9.797
-0.431,0.436,9.735
-0.488,0.436,9.802
-0.503,0.383,9.835
-0.479,0.45,9.759
-0.479,0.417,9.816
-0.517,0.417,9.725
-0.469,0.412,9.907
-0.464,0.464,9.744
-0.254,0.517,9.017
-0.709,0.417,9.673
-0.373,0.45,9.697
-0.603,0.45,9.773
-0.493,0.436,9.773
-0.445,0.407,9.783
-0.436,0.388,9.735
-0.436,0.441,9.764
-0.469,0.407,9.84
-0.426,0.393,9.74
-0.46,0.397,9.802
-0.441,0.359,9.764
-0.479,0.407,9.85
-0.45,0.407,9.826
-0.493,0.412,9.744
-0.479,0.364,9.72
-0.421,0.393,9.787
-0.46,0.45,9.754
-0.484,0.397,9.864
-0.503,0.421,9.783
-0.46,0.412,9.744
-0.45,0.464,9.754
-0.479,0.407,9.783
-0.441,0.417,9.754
-0.426,0.436,9.787
-0.445,0.388,9.725
-0.426,0.407,9.807
-0.445,0.436,9.764
-0.431,0.412,9.816
-0.441,0.388,9.797
-0.445,0.393,9.725
-0.445,0.417,9.768
-0.412,0.431,9.759
-0.464,0.441,9.797
-0.441,0.378,9.725
-0.469,0.441,9.749
-0.479,0.417,9.778
-0.464,0.45,9.764
-0.46,0.383,9.811
-0.421,0.393,9.764
-0.464,0.407,9.821
-0.455,0.426,9.797
-0.407,0.407,9.754
-0.421,0.421,9.744
-0.436,0.388,9.831
-0.421,0.359,9.821
-0.455,0.417,9.735
-0.431,0.436,9.725
-0.469,0.364,9.697
-0.426,0.45,9.807
-0.469,0.417,9.759
-0.426,0.417,9.787
-0.436,0.417,9.716
-0.445,0.441,9.764
-0.474,0.402,9.711
-0.464,0.436,9.807
-0.46,0.412,9.773
-0.407,0.45,9.73
-0.45,0.421,9.802
-0.484,0.417,9.802
-0.45,0.393,9.797
-0.431,0.388,9.754
-0.46,0.402,9.773
-0.455,0.373,9.802
-0.455,0.383,9.764
